identifier	abstract	labels
82fa35a01e8b3c4eeff3ecf7e1e467cb3387293c1239b4a23f9da853c515ced3	 MIEUX LES REPÉRER. Aujourd’hui, dans le monde entier, les personnes se déplacent. Les femmes et les filles représentent près de la moitié des 244 millions de migrants. Elles sont parfois amenées à quitter leur pays d’origine pour fuir des violences physiques, psychologiques ou sexuelles et des discriminations liées au genre. Puis la route migratoire et la nouvelle vie en pays d’asile les exposent à des situations de vulnérabilité et elles sont donc à risque d’abus physique, psychologique ou sexuel. Le risque de contamination par le virus de l’immuno déficience humaine est important. Dans les pays d’accueil, les praticiens reçoivent ces femmes pour des motifs de consultation divers. Connaître leur parcours permet de les accompagner et de leur proposer une prise en charge adaptée à leurs besoins et à leurs demandes. La première étape est le dépistage systématique par les professionnels. Ensuite, la prise en charge pluridisciplinaire est essentielle : acteurs sociaux, psychologues, sexologues, infectiologues, gynécologues, médecins spécialistes de la douleur… Cela implique une formation spécifique des professionnels confrontés à ces populations. 	psychology
ac3be7a551ac3bf1740e77f9359f9622dc4b4f9185866a6841be212e30b509eb	 La dermatite idiopathie du philtrum nasal (DANP) est une atteinte vasculaire cutanée qui cible sélectivement des larges vaisseaux du philtrum nasal du chien; peu d'information est publiée sur cette atteinte. Le but de cette étude est de décrire le signalement, les symptômes, les options thérapeutiques et l’évolution de chiens avec DANP et de proposer une démarche diagnostique clinique. Vingt trois chiens de quatre cliniques vétérinaires de référé de Janvier 2002 à Juillet 2018. MATÉRIELS ET MÉTHODES: L'analyse rétrospective des données médicales de chiens avec un diagnostic de DANP. Résultats - L’âge moyen d'apparition de la maladie est de 5,3 ans. Dix neuf chiens étaient de pure race (11 races différentes) et quatre étaient croisés. Vingt trois chiens avaient un diagnostic clinique de DANP dont trois confirmés par histopathologie. Huit chiens avaient des épisodes de saignement abondant, neufs avaient des saignements modérés et six, pas de saignement. Vingt chiens ont été réglés médicalement par monothérapie ou thérapie combinée de tacrolimus topique, prednisolone, doxycycline et niacinamide et/ou pentoxifylline. Le tacrolimus au long cours a été prescrit pour 15 cas, huit de ces cas comme traitement unique. Le traitement a été refusé pour trois chiens et quatre chiens ont été perdus de vue. La lésion était contrôlée de façon satisfaisante pour 12 chiens et bien contrôlée pour quatre chiens. La présentation évocatrice de DNAP permet le diagnostic clinique. Le traitement médical semble être efficace pour le contrôle de DANP et le tacrolimus, utilisé seul ou en combinaison, semble permettre une gestion satisfaisante de la maladie. 	veterinary|immunology
f657e81f20de43fbaccaf4e9a2e0c8daf643026a96c3fa99aa85c00adedc2311	 L’activité physique est bénéfique pour la santé et le profil de risque cardiovasculaire. Toutefois, elle peut s’avérer dangereuse chez les individus atteints d’une pathologie cardiaque, parfois asymptomatiques. Le sport s’est grandement démocratisé et se pratique à tout âge et à tout niveau. L’approche médicale est différente qu’il s’agisse d’un jeune athlète de compétition, d’un adulte sédentaire voulant débuter une activité sportive de loisir ou du patient atteint d’une cardiopathie qui désire faire du sport. Cet article résume les différentes recommandations de prise en charge selon la situation. 	physiology
8fef011c2f1955d52f4200f9875ada64cad2a9e724280878b35d5d932fe26662	 Le chapitre 1.1.1 du Manuel des tests de diagnostic et des vaccins pour les animaux terrestres de l’Organisation mondiale pour la santé animale donne une vue d’ensemble des principaux aspects de la gouvernance et de la gestion d’un laboratoire de diagnostic vétérinaire tandis que le chapitre 1.1.5 introduit aux principes de la gestion de la qualité dans les laboratoires. Les deux chapitres reposent sur la norme de l’Organisation internationale de normalisation/Commission électrotechnique internationale ISO/IEC 17025:2005, « Exigences générales concernant la compétence des laboratoires d’étalonnages et d’essais ». Les auteurs font le point sur l’état actuel des normes et des organismes de réglementation pertinents en matière d’accréditation des systèmes de gestion de la qualité , en mettant l’accent sur la norme ISO/IEC 17025:2017 qui est plus précisément axée sur les laboratoires d’essais et d’étalonnage. Les auteurs mettent en avant un certain nombre de questions et de considérations importantes qu’un laboratoire devrait prendre en compte lors de la conception et de la mise en œuvre continue de son système de gestion de la qualité et les illustrent d’exemples relatifs à des aspects particuliers de la validation et du contrôle des performances d’un test, notamment l’incertitude des mesures. Un système de gestion de la qualité doit courir tous les aspects opérationnels d’un laboratoire, y compris le personnel, la structure organisationnelle, les processus et les procédures. L’accréditation d’un laboratoire de diagnostic repose sur trois composantes majeures : a) l’évaluation, qui doit être conduite de manière indépendante ou par des tiers ; b) des tests validés de manière appropriée et utilisés par des opérateurs de laboratoire qualifiés dans un laboratoire correctement équipé; c) un contrôle de la qualité continu, à la fois interne et externe. Prises ensemble, ces composantes garantissent que les résultats d’un test sont le fruit d’un processus normalisé et d’un examen structuré et conduit par des pairs, et démontrent aussi bien la compétence que la capacité à produire des résultats diagnostiques robustes sur le plan technique et répondant aux besoins des clients – vétérinaires, propriétaires d’animaux, régulateurs, organisations et secteur privé – ainsi qu’aux besoins des décideurs en charge des programmes de santé animale et de surveillance. 	veterinary
13b5bb95c781948111987b35a3e08d4fa830853a575cd4649d6abe6675f766cd	 Être en mesure de prévenir, reconnaitre, et traiter la douleur avec succès est essentiel pour assurer le bien-être des patients vétérinaires. Un outil d’évaluation du bien-être des chiens et des chats, incorporant une entrevue orale avec des vétérinaires avec des questions ouvertes, a été développé pour évaluer les pratiques de gestion de la douleur qui sauvegarde et améliore le bien-être des patients. L’outil a été évalué dans 30 cliniques vétérinaires pour animaux de compagnie et cliniques mixtes en Ontario afin de vérifier la fiabilité, la faisabilité, et la validité, tout en réalisant un étalonnage des pratiques actuelles. Les réponses ont été analysées selon un schéma de pointage basé sur la littérature publiée et l’opinion d’expert. Sur la base des statistiques kappa pondérées, les pointages des entrevues avaient un accord inter-observateur marqué ( K w = 0,83, 0,73) et un accord intra-observateur presque parfait ( K w = 0,92), ce qui suggère que l’outil a permis d’obtenir des informations fiables sur les pratiques de gestion de la douleur. Les entrevues ont été complétées dans toutes les cliniques recrutées, ce qui indiquait une excellente faisabilité pour les méthodes utilisées. La validité n’a pu être vérifiée car les participants étaient réfractaires à partager de l’information sur l’administration d’analgésique à partir de leurs dossiers médicaux. Les résultats indiquent que plusieurs vétérinaires agissent en concordance avec les bonnes pratiques de gestion de la douleur pour l’analgésie préventive et post-chirurgicale des patients subissant une ovariohystérectomie et les instructions pour les soins post-chirurgie. D’autres domaines ont été identifiés comme nécessitant des améliorations, e.g. former le personnel de la clinique à reconnaitre les signes de douleurs et la durée de l’analgésie chez les patients ayant eu une ovariohystérectomie après leur congé. De manière générale, sur la base de cet échantillonnage limité, la plupart des vétérinaires semble gérer la douleur de leurs patients de manière efficace, bien que des améliorations à faire aient été identifiées. De la recherche supplémentaire est requise pour évaluer les tendances dans un échantillonnage plus grand de participants.(Traduit par Docteur Serge Messier). 	veterinary
a9ba2ea86e015c33f02b218c691a96196cb093e518c4c9697493477c94d35089	 Cet article commence avec l’acceptation que le traumatisme précoce produit de puissantes défenses dissociatives qui portent atteinte à la capacité à ressentir. L’article explore ensuite des manières de restaurer cette capacité par l’utilisation d’une attention centrée sur le corps et sur l’affect-dans-le-moment-présent dans la situation psychanalytique. En s’appuyant sur son expérience personnelle durant l’analyse ainsi que sur un cas de traumatisme précoce sévère, l’auteur montre que les défenses primitives ont pour effet de tuer la conscience. Il montre aussi comment des techniques sensibles au corps contiennent la promesse de la restauration du sens de la vitalité du patient, et ainsi d’ouvrir l’inconscient aux images chargées d’affect qui sont les éléments constitutifs de l’imagination humaine. La dernière partie de l’article montre la négligence en ce qui concerne le sentiment dans la psychologie Jungienne et suggère que la « création de la conscience » que Jung décrit comme étant son mythe personnel, est en quintessence un processus de transformation émotionnelle: d’amener la souffrance inconsciente à la conscience, en tant que sentiments. 	physiology
ae1e417c1f75604282986946d824297cd80fd8e2212f41b4b147653f3db08948	 Déterminer la prévalence de la drépanocytose et du trait drépanocytaire chez les nouveau-nés, ainsi que la prévalence de variants d'hémoglobine et de modificateurs génétiques de la drépanocytose dans les neuf régions du nord-ouest de la République-Unie de Tanzanie. Nous avons réutilisé des échantillons de gouttes de sang séché provenant d'enfants (âgés de 0 à 24 mois) nés de mères atteintes du virus de l'immunodéficience humaine (VIH), prélevés dans le cadre du programme de diagnostic précoce de l'infection à VIH chez le nourrisson pour détecter une éventuelle drépanocytose. Nous avons procédé à une focalisation isoélectrique pour savoir si les échantillons présentaient une hémoglobine normale, un trait drépanocytaire, une drépanocytose ou un variant d'hémoglobine rare. Ensuite, nous avons envoyé les échantillons identifiés comme porteurs de la maladie ou d'un variant à l'hôpital pour enfants de Cincinnati, aux États-Unis, afin d'analyser l'acide désoxyribonucléique et de mesurer la prévalence d'une α-thalassémie, d'un déficit en glucose-6-phosphate déshydrogénase (G6PD) ou de modificateurs génétiques de l'hémoglobine fœtale. Nous avons étudié 17 200 spécimens au total entre février 2017 et mai 2018. Nous avons observé une prévalence de 20,3% (3492/17 200) pour la drépanocytose, et de 1,2% (210/17 200) pour le trait drépanocytaire. D'un district à l'autre, la présence du trait variait de 8,6% (5/58) à 28,1% (77/274). Nous avons constaté que 42,7% (61/143) des spécimens chez qui une drépanocytose avait été confirmée étaient privés d'un gène, et 14,7% (21/143) de deux gènes du trait α-thalassémique. Enfin, nous avons répertorié un déficit en G6PD A – chez 19,2% (14/73) des mâles. La prévalence que nous avons calculée est deux fois supérieure aux chiffres mentionnés précédemment, et souligne la nécessité d'instaurer de meilleurs services de diagnostic de la drépanocytose. Nos données réparties par district fourniront des informations en matière de politique de santé publique, afin que le dépistage et le traitement modificateur de la maladie, à base d'hydroxyurée, se concentrent sur les zones de forte prévalence jusqu'à ce qu'un dépistage universel des nouveau-nés soit disponible. 	genetics
5792122487f1f6a8fb702375346737e1440e167805b6515408325a04412c68ec	 La tuberculose demeure un problème de santé publique, malgré les nombreuses avancées significatives notées dans le diagnostic ces dernières années. L’atteinte de la paroi thoracique est une forme extrapulmonaire rare. Sa présentation clinique est non spécifique, et une tuméfaction thoracique collectée en est la principale manifestation clinique. Le diagnostic est amélioré par l’utilisation d’outils non invasifs tels que le test Xpert MTB/Rif® avec une bonne sensibilité sur le pus. La prise en charge repose sur le traitement médical quelquefois associé à un traitement chirurgical. 	microbiology
eb59a9602a5b94d9dc781e7343c01d8acef99510b8e6ef2c8db6b77bd9e62970	 RésuméHydatidose alvéolaire(Echinococcus multilocularis)dans le foie d’un chien canadien en Colombie-Britannique, une région nouvellement endémique. Un chien adulte habitant dans le centre de la Colombie-Britannique a été examiné en raison d’une anamnèse d’abattement et de vomissements. L’histologie, l’immunohistochimie et l’amplification en chaîne par la polymérase d’une masse hépatique ont tous confirmé la présence d’un kyste hydatique, la première description d’Echinococcus multilocularis en Colombie-Britannique. Nous présentons des recommandations pour la gestion des cas et rappelons aux praticiens dans les régions endémiques de l’Ouest canadien que les chiens peuvent servir d’hôtes définitifs, et rarement, d’hôtes intermédiaires, pour E. multilocularis.(Traduit par Isabelle Vallières). 	veterinary|surgery
2e319ecd64d1307fecd9a29a274e4b3bfde238efe8ab02ac25ae91979e6f575f	 La lombalgie commune chronique est une affection fréquente et de haute morbidité. Différents éléments influencent la chronicisation, tels que l’intensité de l’épisode initial, la sédentarité et des facteurs psychologiques. Cet article se concentre sur ce dernier aspect et plus particulièrement sur les croyances dites « délétères » concernant la lombalgie commune. Il propose une revue de la littérature afin de vérifier le niveau de preuve de certaines de ces croyances qui circulent fréquemment tant chez les patients que chez les médecins et autres thérapeutes. 	etiology
